Locality,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Latitude,Longitude,About,Type,Facilities,Vote_Count,Known_For,Name,Contact,Price_for_2,Cuisine,Rating,Chain_Name
" ITO, New Delhi",1885.0,4.4,1844.0,https://www.zomato.com/ncr/rustoms-ito-new-delhi,"Delhi Parsi Anjuman, LNJP Colony, Bahadur Shah Zafar Road, Near Maulana Azad Medical College Campus, ITO, New Delhi",28.638167,77.240472,"Rustom's is a Parsi restaurant in  ITO, New Delhi known for its quality food, good service, and welcoming atmosphere.",Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible, Family Dining, Quick Service]",,"Good Food and Service, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible, Family Dining, Quick Service",Rustom's,9.1991E+11,2100.0,"Parsi, Street Food, North Indian, Desserts, Beverages",4.9,Rustom's
" Pragati Maidan, New Delhi",3748.0,3.9,37.0,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",28.613429,77.242471,"Located within the National Crafts Museum at Pragati Maidan, Cafe Lota offers contemporary versions of regional Indian dishes paired with a variety of grains like red rice and millet. The outdoor restaurant features healthy options including their famous amaranth-encrusted fish and chips with sweet potato fries. Set in a museum environment with terra-cotta art pieces, visiting school children, and classical music broadcasts, creating a unique retro cultural dining experience.",Cafe,"[Outdoor Seating, WiFi, Wheelchair Accessible, Family Dining]",,"Pondicherry Fish Curry, Coconut Rabdi, Sabudana Pop Corn, Chicken Pasanda, Majestic Chicken, Bhapa Doi | Artistic Decor, The Service, Natural Ambience, Fusion Menu, Serene Ambience, Fusion Food, Outdoor Seating, WiFi, Wheelchair Accessible, Kids Friendly, Museum Setting, Cultural Ambiance, Healthy Food Options",Cafe Lota,9.17839E+11,1200.0,"Cafe, South Indian, North Indian, Beverages",4.9,Cafe Lota
" ITC Maurya, Chanakyapuri, New Delhi",1371.0,,0.0,https://www.zomato.com/ncr/dum-pukht-itc-maurya-chanakyapuri-new-delhi,"ITC Maurya, Chanakyapuri, New Delhi",28.5982003,77.17366073,"Indulge in the royal flavors of Mughlai cuisine at Dum-Pukht - ITC Maurya, known for its rich gravies and tender meats.",5 Star/Luxury,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment, Family Dining]",,"Royal ambiance and Mughlai cuisine, also received the ""Times Food Award 2015"" for Culinary Heritage, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment, Family Dining",Dum-Pukht - ITC Maurya,9.11146E+11,5000.0,"Mughlai, North Indian, Desserts",4.9,Dum-Pukht
" Cyber Hub, DLF Cyber City, Gurgaon",2636.0,4.4,1238.0,https://www.zomato.com/ncr/burma-burma-dlf-cyber-city,"Shop 6, Ground Floor, Building 8, Tower C, Cyber Hub, DLF Cyber City, Gurgaon",28.49446439,77.08853245,"Burma Burma is a Asian restaurant in  Cyber Hub, DLF Cyber City, Gurgaon known for its quality food, good service, and welcoming atmosphere.",Cafe,"[Air Conditioning, WiFi, Home Delivery, Parking Available, Credit Card Accepted, Outdoor Seating, TV/Screening, Digital Wallet Accepted]",,"Coconut Milk Dessert, Honey Caviar, Kaffir Lime Cooler, Samosa Curry, Samosa Soup, Corn Curry | Knowledgeable Staff, Authentic, Soothing Ambience, Dessert Menu, Pure Veg, Cozy",Burma Burma,9.11244E+11,1600.0,"Asian, Burmese, Bubble Tea, Desserts, Salad",4.9,Burma Burma
" Khan Market, New Delhi",6487.0,,0.0,https://www.zomato.com/ncr/the-big-chill-khan-market-new-delhi,"68-A, Khan Market, New Delhi",28.60035007,77.22749334,The Big Chill offers a diverse Continental menu with international flavors and contemporary presentation.,Fine Dining,"[Air Conditioning, Home Delivery, Parking Available, Credit Card Accepted, Digital Wallet Accepted]",,"Irish Cream Tiramisu, Penne Vodka, Mississippi Mudpie, Iced Tea Pitcher, Tuna Melt, Banofi Pie | Retro Ambience, Yummy Desserts, Big Portions, Big Menu, Happy Place, Great Decor",The Big Chill,9.11142E+11,1500.0,"Continental, American, Italian",4.9,The Big Chill
" Lodhi Colony, New Delhi",2518.0,4.2,931.0,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"84-85, Meharchand Market, Lodhi Road, Near Lodhi Colony, New Delhi",28.584296,77.226613,"Carnatic Cafe is a South Indian restaurant in  Lodhi Colony, New Delhi known for its quality food, good service, and welcoming atmosphere.",Cafe,"[Air Conditioning, Home Delivery, Parking Available, Credit Card Accepted, Digital Wallet Accepted]",,"Malleshwari Dosa, Benne Khali Dosa, Obbattu, Raagi Masala Dosa, Bombat Dosa, Puliyogare | Cosy Ambience, Live Kitchen, Quiet Place, Calm, Cosy Place, Nice Decor",Carnatic Cafe,9.19667E+11,600.0,South Indian,4.9,Carnatic Cafe
" Sector 15, Gurgaon",1299.0,3.8,25.0,https://www.zomato.com/ncr/cocktails-dreams-speakeasy-sector-15,"SCO 23, Sector 15, Gurgaon",28.45797541,77.0446267,"Cocktails & Dreams, Speakeasy is a Nepalese restaurant in  Sector 15, Gurgaon known for its quality food, good service, and welcoming atmosphere.",Bar/Lounge,"[Air Conditioning, Credit Card Accepted, Full Bar Available, Serves Alcohol, WiFi, Live Entertainment, Valet Available, Digital Wallet Accepted, Amex Accepted, Wheelchair Accessible]",,"Classic Martini, Coktails, Bloody Mary, Calamari, Bacon, Pork | Jazz Music, Band Playing, Bartender, Live Band, Live Performances, Bar Counter, Air Conditioning, Credit Card Accepted, Full Bar Available, Serves Alcohol, WiFi, Live Entertainment, Valet Available, Digital Wallet Accepted, Amex Accepted, Wheelchair Accessible","Cocktails & Dreams, Speakeasy",9.11244E+11,2500.0,"Nepalese, Tibetan, Beverages",4.9,Cocktails & Dreams
" Connaught Place, New Delhi",4014.0,4.5,6969.0,https://www.zomato.com/NaturalsCP,"L-8, L Block, Outer Circle, Connaught Place, New Delhi",28.63444917,77.22203437,"Natural Ice Cream is a Ice Cream restaurant in  Connaught Place, New Delhi known for its quality food, good service, and welcoming atmosphere.",Dessert/Bakery,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, Family Dining]",,"Watermelon Ice Cream, Choco Bite, Chocobite, Choco Almond, Roasted Almond Ice Cream, Tender Coconut Ice Cream | Bank for the Buck, Totally Worth it, Coffee Date, Table Service, Happy Place, Great Flavour",Natural Ice Cream,9.11144E+11,400.0,"Ice Cream, Desserts",4.9,Natural Ice Cream
" Chawri Bazar, New Delhi",1120.0,,5.0,https://www.zomato.com/ncr/kuremal-mohan-lal-kulfi-wale-chawri-bazar-new-delhi,"526, Kucha Pati Ram, Bazar Sita Ram, Near Chawri Bazar Metro Station, Chawri Bazar, New Delhi",28.64766195,77.22699109,"Kuremal Mohan Lal Kulfi Wale is a Ice Cream restaurant in  Chawri Bazar, New Delhi known for its quality food, good service, and welcoming atmosphere.",Dessert/Bakery,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, Family Dining]",,"Orange Kulfi, Jamun Kulfi, Mixed Fruit, Fruit Cream, Ice Creams, Dessert | Bank for the Buck, Totally Worth it, Table Service, Authenticity, Concept, Owner",Kuremal Mohan Lal Kulfi Wale,9.19811E+11,200.0,"Ice Cream, Desserts",4.9,Kuremal Mohan Lal Kulfi Wale
" Kailash Colony, New Delhi",2480.0,4.2,573.0,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"HS-16, Main Market, Kailash Colony, New Delhi",28.55293914,77.24094898,"Juggernaut is a South Indian restaurant in  Kailash Colony, New Delhi known for its quality food, good service, and welcoming atmosphere.",Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, Full Bar Available, Serves Alcohol, Family Dining]",,"Podi Ghee Idli, Chettinad Idli, Ganne Ka Ras, Pesarattu, Appalam, Chettinad Curry | Everything was very Good, Calm, Lovely Ambience, Soothing Music, Warm Welcome, Ambience was Super Cool",Juggernaut,9.11141E+11,700.0,"South Indian, North Indian, Fast Food, Desserts, Beverages",4.8,Juggernaut
